"ID","Dungeon","Room"
"0","escape","links-house-2911"
"1","escape","outside-links-house-723"
"2","escape","outside-castle-1628"
"3","escape","outside-castle-1631"
"4","escape","uncle-1342"
"5","escape","uncle-1348"
"6","escape","passage-exit-442"
"7","escape","courtyard-923"
"8","escape","castle-lobby-631"
"9","escape","castle-lobby-pumpless-636"
"10","escape","sw-room-439"
"11","escape","sw-room-pumpless-448"
"12","escape","west-guard-hallway1-603"
"13","escape","statue-hallway1-415"
"14","escape","1st-keyguard-leftslash-801"
"15","escape","first-keyguard1-3slash-825"
"16","escape","first-keyguard1-upspin-811"
"17","escape","b1-pit-lower-404"
"18","escape","b1-pit2-lower-945"
"19","escape","stealth-room-927"
"20","escape","stealth-room-929"
"21","escape","green-guard-bestrng-432"
"22","escape","green-guard-bestrng-rta-438"
"23","escape","blue-boomguard-739"
"24","escape","blue-boomguard-skip-627"
"25","escape","green-guard2-426"
"26","escape","stairs-to-b2-1-359"
"27","escape","b2-1-533"
"28","escape","bnc-1pot4slash-3227"
"29","escape","bnc-8slash-3120"
"30","escape","bnc-8slash-3130"
"31","escape","bnc-joestrat-3238"
"32","escape","bnc-joestrat-3244"
"33","escape","b2-2-530"
"34","escape","stairs-to-b2-2-651"
"35","escape","stairs-to-b2-2-652"
"36","escape","green-guard3-426"
"37","escape","stealth-room2-920"
"38","escape","b1-pit2-upper-301"
"39","escape","b1-pit1-upper-627"
"40","escape","b1-pit1-upper-pumpless-628"
"41","escape","1st-keyguard2-314"
"42","escape","statue-hallway2-709"
"43","escape","west-guard-hallway2-612"
"44","escape","sw-room2-445"
"45","escape","castle-lobby2-721"
"46","escape","throne-room-1632"
"47","escape","throne-room-1634"
"48","escape","sewer-passage-857"
"49","escape","sewer-passage-pumpless-903"
"50","escape","snake-room-700"
"51","escape","snake-room-perfect-rng-655"
"52","escape","sewer-key-chest-risky-1212"
"53","escape","sewer-key-chest-rta-1215"
"54","escape","sewer1-706"
"55","escape","sewer1-707"
"56","escape","sewer2-608"
"57","escape","keyrat-840"
"58","escape","rat-hallway-827"
"59","escape","behind-sanc-705"
"60","escape","behind-sanc-rta-719"
"61","escape","behind-sanc2-720"
"62","?","?"
"63","eastern","sanc-2946"
"64","eastern","sanc-heart-3303"
"65","eastern","sanc-heart-chestturn-3305"
"66","eastern","outside-sanc-807"
"67","eastern","graveyard-646"
"68","eastern","east-path-403"
"69","eastern","wooden-bridge-906"
"70","eastern","octofield-724"
"71","eastern","guard-bridge-311"
"72","eastern","east-fairy-cave-right-exit-326"
"73","eastern","outside-eastern-2540"
"74","eastern","entrance-504"
"75","eastern","three-popos-434"
"76","eastern","cannonballs-859"
"77","eastern","bigchest-upper-leftpot-736"
"78","eastern","westwing-upper-455"
"79","eastern","stalfos-spawn-617"
"80","eastern","compass-room-615"
"81","eastern","westwing-lower1-335"
"82","eastern","bigchest-lower1-arrows-805"
"83","eastern","bigchest-lower1-noarrows-704"
"84","eastern","east-wing-645"
"85","eastern","dark-af-boom-623"
"86","eastern","dark-af-sword-630"
"87","eastern","dark-potkey-diagboom-656"
"88","eastern","dark-potkey-walk-658"
"89","eastern","dark-af2-607"
"90","eastern","cannonballs-upper-851"
"91","eastern","bigkey-1105"
"92","eastern","westwing-lower2-756"
"93","eastern","bigchest-bow-1452"
"94","eastern","gwg-noslash-menu-913"
"95","eastern","afpots-802"
"96","eastern","eyegore-floor-switch-519"
"97","eastern","eyegore-floor-switch-pumpless-522"
"98","eastern","cannonball-switch-503"
"99","eastern","cannonball-switch-pumpless-507"
"100","eastern","zgr-601"
"101","eastern","double-red-eyegores-617"
"102","eastern","armos-topright-1321"
"103","desert","outside-eastern-1322"
"104","desert","saha-walkout-1951-449-8"
"105","desert","outside-eastern2-1301-99-0"
"106","desert","east-fairy-cave-253"
"107","desert","guard-bridge-601-35-0"
"108","desert","links-yard-354-32-0"
"109","desert","annoying-bushes-403"
"110","desert","west-of-swamp1-356"
"111","desert","south-of-grove1-right-exit-452-32-0"
"112","desert","grove-westside1-nocharge-255"
"113","desert","grove-westside1-swordcharge-308"
"114","desert","outside-library1-dashes-708"
"115","desert","outside-library1-spindash-626"
"116","desert","library-1038-127-0"
"117","desert","outside-library2-noss-751-99-0"
"118","desert","outside-library2-spindash-707"
"119","desert","grove-westside2-leftexit-233-36"
"120","desert","grove-westside2-rta-243-36"
"121","desert","south-of-grove2-fromleft-belowbush-458-32"
"122","desert","south-of-grove2-fromleft-bushdash-455-32"
"123","desert","south-of-grove2-fromright-bushdash-447-32"
"124","desert","west-of-swamp2-frombelow-350"
"125","desert","west-of-swamp2-frombushes-346"
"126","desert","west-of-swamp2-fromlowbushes-346"
"127","desert","west-of-swamp2-fromlowbushes-farleftexit-346"
"128","desert","annoying-bushes2-352-33"
"129","desert","links-yard-339-32"
"130","desert","links-yard-earlydash-336-32"
"131","desert","waterdash-menu-629-35-1"
"132","desert","waterdash-nomenu-524-37-0"
"133","desert","east-of-watergate-216-35"
"134","desert","watergate-552-37"
"135","desert","middle-aged-man-643-31"
"136","desert","outside-desert-2250-175"
"137","desert","desert1-risky-726-97"
"138","desert","desert1-rta-730-98"
"139","desert","north-hall1-leftpoke-510-21"
"140","desert","north-hall1-rtapoke-512-21"
"141","desert","nw-room1-258-19"
"142","desert","torchkey-rta-614"
"143","desert","torchkey-underleft-614"
"144","desert","nw-room2-235"
"145","desert","north-hall2-412-21"
"146","desert","ne-room1-351"
"147","desert","east-wing1-416-21"
"148","desert","compass-room1-519"
"149","desert","bigkey-chestturn-758-49"
"150","desert","bigkey-rta-goodrng-803"
"151","desert","compass-room2-405"
"152","desert","compass-room2-pumpless-407"
"153","desert","east-wing2-318"
"154","desert","east-wing2-pumpless-319"
"155","desert","ne-room2-418-20"
"156","desert","north-hall3-412-21"
"157","desert","nw-room3-346-18"
"158","desert","cop1-528"
"159","desert","bigchest-606-29-1"
"160","desert","cop2-355"
"161","desert","nw-room4-dashes-348"
"162","desert","nw-room4-walk-rta-349"
"163","desert","west-wing-451-21"
"164","desert","d1-exit-324"
"165","desert","outside-desert-noss-709-102"
"166","desert","outside-desert-spindash-732-102-3"
"167","desert","d2-entrance-528-96"
"168","desert","d2-entrance-pumpless-532-97"
"169","desert","tile-room1-458"
"170","desert","bridge-539-58"
"171","desert","popos-546"
"172","desert","beamos-hall-706-1"
"173","desert","beamos-hall-rta-720"
"174","desert","tile-room2-517-21"
"175","desert","torches-nomenu-1549-0-0"
"176","desert","torches-rta-1656-0-4"
"177","desert","lanmos-2cyc-1953"
"178","desert","lanmos-2cyc-2059"
"179","hera","outside-desert-cactusdash-1044-77-0"
"180","hera","outside-desert-geldmandash-1053-76-0"
"181","hera","outside-desert-rta-highdash-1109-76-0"
"182","hera","outside-desert-rta-lowdash-1116-76-0"
"183","hera","middle-aged-man-634-30-0"
"184","hera","watergate-458-34-0"
"185","hera","beach-445-35-0"
"186","hera","beach-rta-530-35-0"
"187","hera","fakeflips-832-36-0"
"188","hera","fakeflips-rta-808-35-0"
"189","hera","whirlpool-enter-336-36-0"
"190","hera","whirlpool-exit-806-72-0"
"191","hera","rupee-tree-picklearrow-808-35-0"
"192","hera","rupee-tree-rta-821-35-0"
"193","hera","old-man-cave-1026-134-0"
"194","hera","old-man-tunnel-2139-295-8"
"195","hera","death-mountain-lower-3039-246-009"
"196","hera","bunny-link-739"
"197","hera","death-mountain-upper-ledgehop-736-76-0"
"198","hera","death-mountain-upper-rta-748-76-0"
"199","hera","lobby1-503-101-0"
"200","hera","lobby1-pumpless-507-101-0"
"201","hera","basement-key-629-71-0"
"202","hera","lobby2-boom-859-107-007"
"203","hera","lobby2-boomdash-851-107-010"
"204","hera","lobby2-boomless-824"
"205","hera","tileroom-boomdash-4340-66-0"
"206","hera","tileroom-boomless-4326"
"207","hera","3mold-boom-menu-429-0-2"
"208","hera","3mold-boomless-538"
"209","hera","torches-812-31-008"
"210","hera","lobby3-540-107-0"
"211","hera","beetles-936-63-0"
"212","hera","bkdoor-342-0-0"
"213","hera","bkdoor-pumpless-345-0-0"
"214","hera","safety-switch-634"
"215","hera","safety-switch-pumpless-dash-639"
"216","hera","safety-switch-pumpless-walk-639"
"217","hera","bigchest-ebj-2143-95-17"
"218","hera","bigchest-waffle-rta-2324-95-20"
"219","hera","bigchest-waffle-sparkmanip-2301-95-18"
"220","hera","bumper-skip-729-66-0"
"221","hera","moldorm-2752-116-0"
"222","hera","moldorm-2858-116-0"
"223","atower","death-mountain-upper-943"
"224","atower","kak-tunnel-01-806"
"225","atower","kak-tunnel-02-607"
"226","atower","kak-tunnel-02-arrows-835"
"227","atower","kak-tunnel-02-rta-710"
"228","atower","first-rupee-tree-928"
"229","atower","first-rupee-tree-birddash-1029"
"230","atower","first-rupee-tree-rta-x4FA-exit-921"
"231","atower","lumberjacks-652"
"232","atower","lumberjacks-picklearrow-y078-enter-455"
"233","atower","lumberjacks-rta-y078-enter-701"
"234","atower","lost-woods-01-1709"
"235","atower","lost-woods-01-y078-enter-1713"
"236","atower","master-sword-3909"
"237","atower","lost-woods-02-2252"
"238","atower","lost-woods-02-rta-2243"
"239","atower","fortune-teller-hut-rta-619"
"240","atower","whirlpool-pond-348"
"241","atower","wsb-543"
"242","atower","outside-hyrule-castle-1000"
"243","atower","castle-lobby-abovetorch-531"
"244","atower","castle-lobby-rta-540"
"245","atower","sw-room-455-bad-recording"
"246","atower","sw-room-456"
"247","atower","ramparts-617"
"248","atower","entrance-334"
"249","atower","goldknights-pui-734"
"250","atower","prizepack-guards-703"
"251","atower","first-dark-room-605"
"252","atower","first-dark-room-rta-619"
"253","atower","despair-1617-44"
"254","atower","last-3f-dark-room-436"
"255","atower","first-4f-dark-room-625"
"256","atower","first-4f-dark-room-pumpless-628"
"257","atower","melancholy-rta-715"
"258","atower","archerkey-beams-keydash-534"
"259","atower","archerkey-beams-rta-558"
"260","atower","redspearguards-809"
"261","atower","alert-guards-arrowkill-516"
"262","atower","alert-guards-beamkill-528"
"263","atower","cop-menu-638"
"264","atower","neopolitan-room-325"
"265","atower","statue-room-646"
"266","atower","catwalk-boom-624"
"267","atower","catwalk-boomless-621-bad-recording"
"268","atower","7f-hallway-521"
"269","atower","agah-cutscene-2451"
"270","atower","agah-0bb-4451"
"271","pod","pyramid-1043"
"272","pod","dark-octo-319"
"273","pod","hammer-bridge-444"
"274","pod","dark-east-fairy-cave-250"
"275","pod","outside-4157"
"276","pod","entrance1-dash-554"
"277","pod","entrance1-walk-556"
"278","pod","west-bomb-pickup-336"
"279","pod","shooter-key-847"
"280","pod","entrance2-333"
"281","pod","bomb-pickup1-428"
"282","pod","junction1-ledgehop-524"
"283","pod","junction1-slashjelly-556"
"284","pod","turtle-key-619"
"285","pod","entrance3-333"
"286","pod","bomb-pickup2-412"
"287","pod","junction2-907"
"288","pod","junction2-badrng-917"
"289","pod","upper-turtle-key-715"
"290","pod","bigkey-leftside-754"
"291","pod","entrance4-333"
"292","pod","bomb-pickup3-412"
"293","pod","junction3-651"
"294","pod","beetle-room1-954"
"295","pod","beetle-room1-dash2chest-1002"
"296","pod","beetle-room1-rta-1012"
"297","pod","hammeryump-1bombpickup-1324"
"298","pod","hammeryump-2bombpickup-1348"
"299","pod","darkmaze-738"
"300","pod","entrance5-333"
"301","pod","bomb-pickup4-412"
"302","pod","junction4-651"
"303","pod","beetle-room2-dash-and-hop-644"
"304","pod","beetle-room2-rta-walk-702"
"305","pod","beetle-room2-walk-and-hop-657"
"306","pod","sexy-statue-1333"
"307","pod","ugly-statue-1406"
"308","pod","mimics-454"
"309","pod","eye-statue-dashes-2454"
"310","pod","eye-statue-walk-rta-2456"
"311","pod","darkpegs-607"
"312","pod","lonely-turtle-457"
"313","pod","turtle-party-701-cropped"
"314","pod","turtle-party-701"
"315","pod","turtle-party-809"
"316","pod","warp-tile-512"
"317","pod","turtle-hallway-dash-and-keydash-709"
"318","pod","turtle-hallway-rta-walk-and-slash-745"
"319","pod","turtle-hallway-walk-and-keydash-720"
"320","pod","helma-2739"
"321","pod","helma-2813"
"322","pod","helma-2830"
"323","pod","helma-2843"
"324","pod","helma-2927"
"325","thieves","outside-pod-2627"
"326","thieves","dark-east-fairy-cave-259"
"327","thieves","pegbridge-earlydash-639"
"328","thieves","pegbridge-safedash-646"
"329","thieves","bombshop-359"
"330","thieves","annoying-bushes-402"
"331","thieves","annoying-bushes-rightcancel-402"
"332","thieves","southeast-of-fluteboy-dash-334"
"333","thieves","southeast-of-fluteboy-walk-rta-328"
"334","thieves","south-of-fluteboy-458"
"335","thieves","south-of-fluteboy-walk-rta-508"
"336","thieves","fluteboy-rta-1503"
"337","thieves","grove-rta-1840"
"338","thieves","south-of-grove-445"
"339","thieves","grove-westside-236"
"340","thieves","usain-bolt-720"
"341","thieves","kak-village-centerdash-3335"
"342","thieves","kak-village-leftdash-3335"
"343","thieves","three-musketeers-3xdash-557"
"344","thieves","lost-woods-830"
"345","thieves","warp-rock-705"
"346","thieves","warp-rock-no-hammerdash-724"
"347","thieves","north-of-outcast-748"
"348","thieves","voo-943"
"349","thieves","sw-quad-badrng-745"
"350","thieves","sw-quad-goodrng-736"
"351","thieves","nw-quad-333"
"352","thieves","ne-quad-badrng-350"
"353","thieves","ne-quad-goodrng-337"
"354","thieves","se-quad1-551"
"355","thieves","bigkey-610"
"356","thieves","se-quad2-628"
"357","thieves","ne-quad2-733"
"358","thieves","stalfos-hallway-hammer-755"
"359","thieves","stalfos-hallway-pickup-754"
"360","thieves","snek-and-zazaks-335"
"361","thieves","conveyor-gibos-north-352"
"362","thieves","conveyor-gibos-north-353"
"363","thieves","hellway-429"
"364","thieves","spikeroom1-hammer-515"
"365","thieves","spikeroom1-mikestrat-502"
"366","thieves","attic-pot-switch1-badrng-828"
"367","thieves","attic-pot-switch1-goodrng-pickup-750"
"368","thieves","grasshopper-hall1-1-252"
"369","thieves","grasshopper-hall2-1-308"
"370","thieves","attic-window-slashgrass-556"
"371","thieves","grasshopper-hall2-2-240"
"372","thieves","grasshopper-hall1-2-307"
"373","thieves","attic-pot-switch2-306"
"374","thieves","spikeroom2-606"
"375","thieves","hellway2-322"
"376","thieves","zazaks-and-gibos-543"
"377","thieves","zazaks-and-gibos-545"
"378","thieves","conveyor-toilet-bomb-404"
"379","thieves","conveyor-toilet-nobomb-321"
"380","thieves","bigblock-837"
"381","thieves","lonely-zazak-315"
"382","thieves","prison-dashes-1053"
"383","thieves","prison-walk-1106"
"384","thieves","prison-walk-oneslash-1124"
"385","thieves","lonely-zazak2-252"
"386","thieves","conveyor-jellies1-328"
"387","thieves","bigchest-606"
"388","thieves","conveyor-jellies2-509"
"389","thieves","bigblock2-arrows-412"
"390","thieves","bigblock2-noarrows-345"
