"ID","Dungeon","Room"
"391","thieves","conveyor-toilet2-dash-hammer-736"
"392","thieves","conveyor-toilet2-hammerdash-726"
"393","thieves","conveyor-toilet2-rta-751"
"394","thieves","stalfos-hallway2-324"
"395","thieves","blind-beams-2701"
"396","thieves","blind-beams-walkin-2707"
"397","skull","voo1-902"
"398","skull","voo1-rta-914"
"399","skull","300-hut-721"
"400","skull","300-hut-rta-720"
"401","skull","voo2-dash-628"
"402","skull","voo2-walk-630"
"403","skull","cursed-dwarf-justpressa-1210"
"404","skull","cursed-dwarf-rta-1224"
"405","skull","voo3-339"
"406","skull","hammerpegs1-820"
"407","skull","outside-smiths1-350"
"408","skull","smiths1-708"
"409","skull","outside-smiths2-237"
"410","skull","smiths2-910"
"411","skull","outside-smiths3-239"
"412","skull","hammerpegs2-342"
"413","skull","outside-smiths4-338"
"414","skull","smiths3-746"
"415","skull","outside-smiths5-236"
"416","skull","hammerpegs3-849"
"417","skull","voo4-fencedash-441"
"418","skull","c-shaped-house-918"
"419","skull","voo5-709"
"420","skull","moblins-badrng-524"
"421","skull","moblins-goodrng-518"
"422","skull","skeleton-forest1-1216"
"423","skull","mummy-statue-1220"
"424","skull","bigkey-badrng-659"
"425","skull","bigkey-leftside-620"
"426","skull","bigkey-rightside-635"
"427","skull","mumm-statue-exit-232"
"428","skull","skeleton-forest2-949"
"429","skull","bigchest-earlybj-1259"
"430","skull","bigchest-rta-bonk-1407"
"431","skull","bigchest-rta-bonkless-1406"
"432","skull","skeleton-forest3-933"
"433","skull","mummy-statue-passthru-427"
"434","skull","bumper-hallway-305"
"435","skull","potkey-654"
"436","skull","skeleton-forest4-738"
"437","skull","skeleton-forest4-rta-740"
"438","skull","firesnake-keydash-522"
"439","skull","potpit-left-442"
"440","skull","potpit-right-438"
"441","skull","mummy-hellway-744"
"442","skull","mummy-hellway-joestrat-812"
"443","skull","vineroom-badrng-415"
"444","skull","vineroom-goodrng-359"
"445","skull","mummy-key-629"
"446","skull","mummy-key-rta-633"
"447","skull","mothhole-top-422"
"448","skull","mothula-1118"
"449","skull","mothula-1122"
"450","ice","outside-skull-menu-352"
"451","ice","lost-woods-dash-758"
"452","ice","lost-woods-walk-806"
"453","ice","links-house-632"
"454","ice","castle-gate-menu-rta-qw-637"
"455","ice","castle-gate-menu-walk-qw-639"
"456","ice","castle-gate-walk-qw-534"
"457","ice","pyramid-659"
"458","ice","dark-octofield-236"
"459","ice","broken-bridge-738"
"460","ice","lonely-ropa-243"
"461","ice","ropa-lottery-910"
"462","ice","dark-cuckoos-leftgrab-737"
"463","ice","dark-cuckoos-rta-746"
"464","ice","quake-1925"
"465","ice","quake-earlythrow-1858"
"466","ice","whirlpool1-dashcancel-605"
"467","ice","whirlpool1-nocancel-603"
"468","ice","zoras-domain-dashout-5934"
"469","ice","zoras-domain-walkout-5933"
"470","ice","tiny-warp-dik-605"
"471","ice","ice-warp-833"
"472","ice","ice-island-358"
"473","ice","ice-entrance-438"
"474","ice","ice2-508"
"475","ice","floor-switch-910"
"476","ice","block-intersection1-358"
"477","ice","compass-room-144"
"478","ice","block-intersection2-456"
"479","ice","penguins1-spin-535"
"480","ice","penguins1-tmstrat-523"
"481","ice","block-intersection3-512"
"482","ice","bombable-floor-dboost-916"
"483","ice","bombable-floor-nodboost-944"
"484","ice","bombable-floor-rta-good-rng-957"
"485","ice","big-stalfos-819"
"486","ice","conveyor-hellway-709"
"487","ice","ipbj-1209"
"488","ice","floor-zols-300"
"489","ice","penguins2-804"
"490","ice","big-spike-405"
"491","ice","lonely-firebar-419"
"492","ice","lonely-firebar-dash-451"
"493","ice","double-freezor-503"
"494","ice","big-chest-401"
"495","ice","big-pit-351"
"496","ice","block-push-hammerpot-badlag-542"
"497","ice","block-push-potpickup-badlag-539"
"498","ice","statue-room-hammer-both-pots-1323"
"499","ice","statue-room-hammer-one-pot-1306"
"500","ice","statue-room-pickup-both-pots-1318"
"501","ice","statue-room-pickup-one-pot-1304"
"502","ice","kholdstare-1poke-1621"
"503","ice","kholdstare-2poke-1559"
"504","ice","kholdstare-2poke-1602"
"505","ice","kholdstare-6slash-1655"
"506","swamp","ice-island-343"
"507","swamp","lake-hylia-birddash-803"
"508","swamp","lake-hylia-walk-812"
"509","swamp","links-house-521"
"510","swamp","grassy-area-menu-437"
"511","swamp","warp-nokill-422"
"512","swamp","warp-octokill-437"
"513","swamp","postwarp-hammerdash-950"
"514","swamp","postwarp-walk-959"
"515","swamp","outside-swamp1-noqw-629"
"516","swamp","outside-swamp1-qw-617"
"517","swamp","outside-watergate-noqw-427"
"518","swamp","outside-watergate-qw-407"
"519","swamp","watergate-entrance-mirrordash-455"
"520","swamp","watergate-entrance-walk-500"
"521","swamp","afskip-715"
"522","swamp","afskip-bonk-736"
"523","swamp","afskip-rta-732"
"524","swamp","watergate-entrance2-317"
"525","swamp","outside-watergate2-closewarp-236"
"526","swamp","outside-watergate2-qw-413"
"527","swamp","outside-swamp2-closewarp-424"
"528","swamp","outside-swamp2-qw-352"
"529","swamp","dungeon-entrance-1017"
"530","swamp","potkey1-menu-1050"
"531","swamp","potkey1-nomenu-923"
"532","swamp","pool1-empty-627"
"533","swamp","potkey2-dash-336"
"534","swamp","potkey2-walk-339"
"535","swamp","pool1-empty2-dash-515"
"536","swamp","pool1-empty2-walk-514"
"537","swamp","waterlever1-1232"
"538","swamp","pool1-full-542"
"539","swamp","bigchest1-839"
"540","swamp","pool2-empty-710"
"541","swamp","potkey3-dash-336"
"542","swamp","potkey3-walk-339"
"543","swamp","pool2-empty2-554"
"544","swamp","bigchest2-759"
"545","swamp","waterlever2-1355"
"546","swamp","bigchest3-844"
"547","swamp","pool2-full1-hammerdash-920"
"548","swamp","pool2-full1-rta-939"
"549","swamp","jelly-dash-1015"
"550","swamp","sociable-firebar-1030"
"551","swamp","jellydash-northside-433"
"552","swamp","bigkey-719"
"553","swamp","jelly-dash2-928"
"554","swamp","pool2-full2-dboost-907"
"555","swamp","pool2-full2-hammerdash-925"
"556","swamp","pool2-full2-rta-936"
"557","swamp","bigchest4-2026"
"558","swamp","bigchest4-rta-2112"
"559","swamp","statue-room-arrows-1205"
"560","swamp","statue-room-no-arrows-1127"
"561","swamp","red-jelly-2slash-351"
"562","swamp","red-jelly-beam-340"
"563","swamp","red-jelly-dash-326"
"564","swamp","water-lever3-1146"
"565","swamp","smallhall-313"
"566","swamp","waterfall-room-509"
"567","swamp","restock-all-448"
"568","swamp","restock-arrows-only-422"
"569","swamp","restock-bomb-only-420"
"570","swamp","restock-skip-dash-330"
"571","swamp","restock-skip-walk-334"
"572","swamp","c-room-602"
"573","swamp","phelps-way-943"
"574","swamp","t-room-234"
"575","swamp","arrghus-frqk-1737"
"576","swamp","arrghus-frqk-1745"
"577","swamp","arrghus-frqk-1748"
"578","swamp","arrghus-noqk-1902"
"579","swamp","arrghus-noqk-1930"
"580","mire","outside-swamp-357"
"581","mire","outside-swamp-from-fr-341"
"582","mire","outside-swamp-from-fr-with-qw-348"
"583","mire","outside-swamp-from-mirror-qw-236"
"584","mire","outside-watergate-852"
"585","mire","outside-watergate-from-qw-836"
"586","mire","dm-both-swordclimbs-2145"
"587","mire","dm-hookspeed-noswordclimbs-2202"
"588","mire","dm-hybrid-2205"
"589","mire","dm-spindash-2123"
"590","mire","dm-spindash-2134"
"591","mire","dm-spindash-dmgcancel-2111"
"592","mire","dark-dm-534"
"593","mire","ether-dashoff-2305"
"594","mire","ether-quickhop-2243"
"595","mire","octoballoon-610"
"596","mire","icerod-entrance-931"
"597","mire","icerod1-334"
"598","mire","icerodchest-nomenu-659"
"599","mire","icerodchest-rta-menu-815"
"600","mire","icerod2-menu-350"
"601","mire","icerod2-rta-nomenu-233"
"602","mire","icerod-leaving-547"
"603","mire","icerod-leaving-rta-556"
"604","mire","mirewarp-menu-701"
"605","mire","mire-entrance-nomenu-2501"
"606","mire","mire01-821"
"607","mire","mire02-1031"
"608","mire","mainhub1-toproute-947"
"609","mire","poporoom1-337"
"610","mire","spikekey1-351"
"611","mire","poporoom2-337"
"612","mire","beatthefireball-938"
"613","mire","jellykey-449"
"614","mire","tileroom-321"
"615","mire","bombslugs-508"
"616","mire","torches1-752"
"617","mire","torches2-rta-2127"
"618","mire","torches2-toplighting-2121"
"619","mire","bighole-322"
"620","mire","bigkey-621"
"621","mire","warptile-230"
"622","mire","wizzroom-412"
"623","mire","bigspike-318"
"624","mire","lonelystalfos-337"
"625","mire","sparkgamble-bestboost-1106"
"626","mire","sparkgamble-damageless-1144"
"627","mire","sparkgamble-rta-menu-1236"
"628","mire","sparkgamble-snekblock-1205"
"629","mire","maproom-south-327"
"630","mire","maproom-south-rta-327"
"631","mire","bigchest-menu-1012"
"632","mire","bigchest-nomenu-852"
"633","mire","maproom-north-328"
"634","mire","spikeykey2-rta-walk-702"
"635","mire","spikeykey2-rta-walk-magicgrab-753"
"636","mire","spikeykey2-rta-walk-magicgrab-with-hook-752"
"637","mire","jadinledge-hookdash-333"
"638","mire","jadinledge-quickhop-328"
"639","mire","jadinledge-rta-2dash-332"
"640","mire","wizzpot-rta-hook-610"
"641","mire","wizzpot-topdash-558"
"642","mire","bridge-504"
"643","mire","caneblockswitch-old-928"
"644","mire","caneblockswitch-spooky-934"
"645","mire","bigblock-429"
"646","mire","caneswitch-spooky-1132"
"647","mire","caneswitch-spooky-roddash-bonk-1108"
"648","mire","bombwall-spooky-dashout-513"
"649","mire","bombwall-spooky-dashout-risky-var-443"
"650","mire","bombwall-spooky-walk-534"
"651","mire","badfarmroom-spooky-dash-above-612"
"652","mire","badfarmroom-spooky-dash-below-608"
"653","mire","badfarmroom-spooky-riskier-walk-619"
"654","mire","badfarmroom-spooky-rta-walk-624"
"655","mire","firesnek-skip-menu-956"
"656","mire","firesnek-skip-rta-nomenu-909"
"657","mire","firesnek-skip-rta-nomenu-915"
"658","mire","vitty-nomenu-1732"
"659","mire","vitty-rta-menu-1846"
"660","?","?"
"661","trock","outside-mire-335"
"662","trock","outside-desert-818"
"663","trock","wafflehouse-drivethru-1241"
"664","trock","wafflehouse-drivethru-nostairclimb-1243"
"665","trock","broken-bridge-1034"
"666","trock","broken-bridge-fromfacingup-1037"
"667","trock","paradox-lower-454"
"668","trock","paradox-upper-740"
"669","trock","run-killing-deadrocks-525"
"670","trock","hammerpegs-1251"
"671","trock","outside-trock-2057"
"672","trock","outside-trock-rta-1957"
"673","trock","dungeon-entrance-menu-933"
"674","trock","dungeon-entrance-no-menu-818"
"675","trock","largepit1-928"
"676","trock","torches-1428"
"677","trock","torches-rta-1432"
"678","trock","rollerroom-1038"
"679","trock","rollerroom-topdmg-1032"
"680","trock","torches-backtrack-346"
"681","trock","largepit2-1025"
"682","trock","pokey0-526"
"683","trock","pokey0-rta-551"
"684","trock","chomps-2blocks-805"
"685","trock","chomps-bbb-758"
"686","trock","chomps-blocknbeam-748"
"687","trock","tunnels-arrows-2040"
"688","trock","tunnels-no-arrows-1948"
"689","trock","lava-room1-739"
"690","trock","pokey1-bl-keydash-849"
"691","trock","bigkey-fromdash-1245"
"692","trock","bigkey-fromwalk-1241"
"693","trock","pokey1-backtrack-beamless-644"
"694","trock","pokey1-backtrack-beams-632"
"695","trock","pokey1-backtrack-canedash-624"
"696","trock","lava-room3-1247"
"697","trock","double-pokeys-429"
"698","trock","miniroller-2dash-339"
"699","trock","lavaroom4-619"
"700","trock","walldash-414"
"701","trock","crystalroller-beams-812"
"702","trock","darkroom-2428"
"703","trock","helmadash1-623"
"704","trock","laserskip-block-921"
"705","trock","laserskip-dash-823"
"706","trock","helmadash2-414"
"707","trock","helmadash2-rta-417"
"708","trock","canedash-725[30lf]"
"709","trock","canedash-725[31lf]"
"710","trock","canedash-magicless-814"
"711","trock","canedash-rta-walk-823"
"712","trock","restock-graball-1238"
"713","trock","restock-magicgrab-1232"
"714","trock","restock-skipall-1145"
"715","trock","trinexx-rta-3759"
"716","gtower","outside-trock-454"
"717","gtower","lynel-bridge-909"
"718","gtower","entrance-2239"
"719","gtower","entrance-nostairclimb-2251"
"720","gtower","foyer-624"
"721","gtower","torchkey-bonkandwalk-759"
"722","gtower","torchkey-hook-758"
"723","gtower","torchkey-nokey-606"
"724","gtower","conveyor-potkey-905"
"725","gtower","spikeskip-919"
"726","gtower","spikeskip-noskip-937"
"727","gtower","double-crystal-switch-719"
"728","gtower","double-crystal-switch-rta-739"
"729","gtower","double-crystal-switch-rta-740"
"730","gtower","spike-and-pegs-356"
"731","gtower","firesnake-room-1029"
"732","gtower","firesnake-room-bonk-1117"
"733","gtower","firesnake-room-framerule-1011"
"734","gtower","warp-tile1-157"
"735","gtower","warp-tile2-344"
"736","gtower","warp-tile2-justholddown-350"
"737","gtower","warp-tile3-430"
"738","gtower","warp-tileskip-816"
"739","gtower","warp-tileskip-with-menu-931"
"740","gtower","false-floor-no-menu-1017"
"741","gtower","false-floor-with-menu-1122"
"742","gtower","bombable-floor-717"
"743","gtower","icearmos-1529"
"744","gtower","icearmos-321-1548"
"745","gtower","icearmos-321-dboost-1546"
"746","gtower","bk-arrows-738"
"747","gtower","bk-no-arrows-606"
"748","gtower","foyer2-745"
"749","gtower","mj-room-1045-arrow-dash"
"750","gtower","mimics1-joestrat-647"
"751","gtower","mimics1-myramics-653"
"752","gtower","mimics2-blunt-553"
"753","gtower","mimics2-opt-519"
"754","gtower","east-spike-room-302"
"755","gtower","spiketrap-1341"
"756","gtower","spiketrap-abovepot-1406"
"757","gtower","gbz-513"
"758","gtower","gbz-walk-637"
"759","gtower","g1-838"
"760","gtower","g2-441"
"761","gtower","g3-644"
"762","gtower","g4-446"
"763","gtower","g5-459"
"764","gtower","bunnybeamhall-305"
"765","gtower","lanmo2-1141"
"766","gtower","restock-248"
"767","gtower","wizz1-849"
"768","gtower","guardbridge-529"
"769","gtower","wizz2-429"
"770","gtower","foosdabridge-653"
"771","gtower","foosdabridge-rightdash-703"
"772","gtower","torches1-1251-magic-noroddash"
"773","gtower","eyelasers-529"
"774","gtower","torches2-637"
"775","gtower","torches2-safewalk-647"
"776","gtower","helmakey-500-dmg"
"777","gtower","helmakey-507-dmgless"
"778","gtower","bombwall-521"
"779","gtower","bombwall-damageless-530"
"780","gtower","bombwall-rta-543"
"781","gtower","pegschestkey-843"
"782","gtower","pegschestkey-magicskip-454"
"783","gtower","pegschestkey-safe-634"
"784","gtower","mold2-hover-1232"
"785","gtower","mold2-hover-1301"
"786","gtower","mold2-hover-1337"
"787","gtower","mold2-kill-hook-1949"
"788","gtower","mold2-kill-hook-1958"
"789","gtower","helma-hallway-607"
"790","gtower","helma-hallway-safe-620"
"791","gtower","torch-hallway-635"
"792","gtower","agah2-4927"
"793","?","?"
"794","?","?"
"795","?","?"
"796","?","?"
"797","?","?"
"798","ganon","ganon-139.55-nfc"
"799","ganon","ganon-139.55"
"800","?","?"
"801","?","?"
"802","?","?"
"803","?","?"
"804","?","?"
"805","?","?"
"806","?","?"
"807","?","?"
"808","?","?"
"809","?","?"
"810","?","?"
"811","?","?"
"812","?","?"
"813","?","?"
"814","?","?"
"815","?","?"
"816","?","?"
